,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
12745,2020-10-06,DE-BE,78.165879,1939814.847902,2392725.237762,12.690735000000018,0.003156,10.195803999999999,4.376807
12746,2020-10-06,DE-BW,80.964399,2235170.884244,2284845.226716,10.783378000000027,0.009623999999999999,8.704183,5.186276
12747,2020-10-06,DE-BY,83.736122,3284293.120844,2269180.71612,10.420792000000006,0.009606,9.361289999999999,4.075807
12748,2020-10-06,DE-HB,87.196578,2660955.586538,2391087.416667,12.437975999999992,0.004275,7.2692309999999996,5.159562
12749,2020-10-06,DE-HE,88.766745,617572.571658,2322400.870044,10.853568999999993,0.0084,6.478325,5.426436
12750,2020-10-06,DE-HH,87.571969,2756561.367424,2388129.482955,11.77428100000003,0.002339,5.992424,4.13892
12751,2020-10-06,DE-MV,86.346948,2516995.147821,2390898.574672,11.632033000000035,0.002015,6.333435,3.695939
12752,2020-10-06,DE-NI,86.565758,2049009.263569,2377331.826754,11.99452400000007,0.004543999999999999,7.037872999999999,4.603169
12753,2020-10-06,DE-NW,85.407894,2216808.892382,2351707.610717,11.845361000000025,0.007292,9.421456,5.074232
12754,2020-10-06,DE-RP,88.919476,1639904.300972,2320292.497322,11.056173000000001,0.007409999999999999,7.5953990000000005,5.890536
12755,2020-10-06,DE-SH,90.089947,2479058.0779709998,2388370.908959,11.465550000000007,0.003535,5.599643,4.432631
12756,2020-10-06,DE-SL,91.551958,2374645.473505,2325004.681386,10.774333000000013,0.009511,8.491848,7.260688
12757,2020-10-06,DE-SN,77.58548499999999,2443056.701401,2329172.699278,11.709934000000032,0.004671,7.918506,5.505157
12758,2020-10-06,DE-ST,79.204707,1999322.0261590001,2370887.888286,12.38209500000005,0.004059,7.108864,4.348696
12759,2020-10-06,DE-TH,84.486722,1372893.396765,2307615.259753,10.917296000000022,0.006792,7.376308,5.904621
